,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,23.0,23.0,28.0,28.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.245256,0.754744,0.745256,0.25474399999999997,0.0,0.5,0.104846,0.895154,0.604846,0.395154,0.13939,0.86061,0.63939,0.36061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.687403,0.312597,0.687403,0.312597,0.0,0.0,0.446545,0.553455,0.446545,0.553455,0.977861,0.02213900000000002,0.977861,0.02213900000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118,12.956118
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504,3.395504
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991,6.19321991
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345,116.76664345
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935,243.2614271639935
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
12,23.0,0.245256,0.5,0.687403,12.956118,3.395504,6.19321991,90.0,116.76664345,90.0,243.2614271639935,12.0,0.0,5.699883233938506,6.696835839483076,2.922792924491309,4.349573737410283,2.9809367095794204,2.4439018999245126,4.555898013951849,4.907185040454901,2.431269047385484,2.7091766240226476,4.828742391543666,4.890835092933931,2.5735233636714216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
